avg_score_pct,variation_score_pct,late_submission_pct,missed_submission_pct,risk_at_risk,risk_chronic_procrastinator,risk_incomplete,risk_inconsistent_performer
61,27,40,30,1,1,1,0
84,43,30,10,0,1,0,0
89,26,30,30,1,1,1,0
81,8,40,0,0,1,0,0
96,33,20,0,0,0,0,0
73,21,0,20,1,0,1,0
98,7,40,0,0,1,0,0
75,35,20,30,1,0,1,0
54,19,0,30,1,0,1,0
85,27,30,20,1,1,1,0
61,0,0,10,1,0,0,0
58,50,40,0,1,1,0,1
86,5,20,0,0,0,0,0
89,50,40,30,1,1,1,1
80,21,30,20,1,1,1,0
66,10,0,10,1,0,0,0
65,17,10,0,1,0,0,0
44,16,20,20,1,0,1,0
66,35,20,10,1,0,0,0
99,12,20,0,0,0,0,0
54,10,30,30,1,1,1,0
46,23,10,20,1,0,1,0
47,25,0,10,1,0,0,0
51,37,20,0,1,0,0,0
92,27,10,0,0,0,0,0
66,30,10,30,1,0,1,0
45,3,0,10,1,0,0,0
72,11,30,30,1,1,1,0
44,3,20,20,1,0,1,0
67,9,20,30,1,0,1,0
70,29,10,30,1,0,1,0
72,36,10,10,1,0,0,0
87,15,20,30,1,0,1,0
92,25,10,20,1,0,1,0
73,28,40,10,1,1,0,0
94,6,40,30,1,1,1,0
75,34,20,20,1,0,1,0
54,34,0,20,1,0,1,0
97,41,0,20,1,0,1,0
43,39,30,10,1,1,0,0
93,17,30,0,0,1,0,0
75,48,0,0,0,0,0,1
49,16,20,20,1,0,1,0
64,25,30,10,1,1,0,0
62,41,20,0,1,0,0,0
100,34,10,10,0,0,0,0
95,10,30,0,0,1,0,0
75,27,20,30,1,0,1,0
61,31,10,20,1,0,1,0
94,12,40,30,1,1,1,0
42,16,30,0,1,1,0,0
77,13,40,30,1,1,1,0
79,26,20,30,1,0,1,0
56,3,20,30,1,0,1,0
58,15,30,10,1,1,0,0
51,47,0,20,1,0,1,1
54,21,0,30,1,0,1,0
51,13,0,20,1,0,1,0
43,3,20,20,1,0,1,0
66,41,30,20,1,1,1,0
92,6,10,20,1,0,1,0
89,15,0,30,1,0,1,0
84,27,20,20,1,0,1,0
95,2,40,20,1,1,1,0
87,40,0,30,1,0,1,0
58,6,40,20,1,1,1,0
90,36,0,10,0,0,0,0
77,25,0,0,0,0,0,0
44,6,30,30,1,1,1,0
56,7,20,30,1,0,1,0
68,7,40,10,1,1,0,0
59,1,30,30,1,1,1,0
54,33,40,10,1,1,0,0
97,45,20,30,1,0,1,1
52,24,30,10,1,1,0,0
72,40,20,30,1,0,1,0
61,35,40,10,1,1,0,0
100,44,10,30,1,0,1,0
56,41,0,0,1,0,0,0
62,6,0,20,1,0,1,0
87,24,40,10,0,1,0,0
82,17,10,30,1,0,1,0
100,6,40,20,1,1,1,0
41,4,0,0,1,0,0,0
96,41,40,10,0,1,0,0
60,13,0,0,1,0,0,0
54,5,0,0,1,0,0,0
58,30,30,0,1,1,0,0
79,16,40,30,1,1,1,0
96,41,30,30,1,1,1,0
74,32,20,20,1,0,1,0
61,17,10,30,1,0,1,0
86,43,20,10,0,0,0,0
90,28,40,20,1,1,1,0
43,31,40,20,1,1,1,0
46,43,20,10,1,0,0,0
41,40,0,0,1,0,0,0
44,48,10,20,1,0,1,1
99,29,0,30,1,0,1,0
79,6,30,10,0,1,0,0
81,6,40,30,1,1,1,0
51,32,10,30,1,0,1,0
100,15,40,20,1,1,1,0
86,0,0,30,1,0,1,0
83,46,30,20,1,1,1,1
71,10,0,30,1,0,1,0
82,0,30,30,1,1,1,0
71,30,10,30,1,0,1,0
53,42,40,20,1,1,1,0
54,36,10,30,1,0,1,0
100,27,0,20,1,0,1,0
96,2,40,0,0,1,0,0
44,48,30,30,1,1,1,1
69,2,40,30,1,1,1,0
43,4,30,0,1,1,0,0
49,0,40,10,1,1,0,0
41,27,30,20,1,1,1,0
44,17,10,30,1,0,1,0
95,8,40,20,1,1,1,0
60,31,40,10,1,1,0,0
40,16,0,20,1,0,1,0
86,17,40,20,1,1,1,0
43,31,20,10,1,0,0,0
72,44,40,10,1,1,0,0
50,11,0,30,1,0,1,0
62,34,20,30,1,0,1,0
72,27,0,10,1,0,0,0
93,42,20,30,1,0,1,0
47,6,10,10,1,0,0,0
61,8,30,20,1,1,1,0
93,13,20,30,1,0,1,0
56,29,20,30,1,0,1,0
70,22,0,30,1,0,1,0
65,19,40,0,1,1,0,0
52,31,0,30,1,0,1,0
87,1,40,30,1,1,1,0
40,12,0,30,1,0,1,0
85,48,0,20,1,0,1,1
67,8,30,20,1,1,1,0
47,13,0,20,1,0,1,0
93,46,0,20,1,0,1,1
60,28,30,0,1,1,0,0
63,50,40,0,1,1,0,1
47,12,20,10,1,0,0,0
47,33,0,0,1,0,0,0
74,33,30,20,1,1,1,0
82,11,10,30,1,0,1,0
83,35,40,0,0,1,0,0
70,39,10,20,1,0,1,0
51,20,20,0,1,0,0,0
99,15,20,10,0,0,0,0
89,46,40,20,1,1,1,1
82,11,40,30,1,1,1,0
67,37,10,20,1,0,1,0
45,26,20,30,1,0,1,0
